timestamp,cycle,frame_read_ms,preprocess_for_drawing_ms,detect_pipeline_ms,drawing_on_img_ms,total_cycle_ms
2025-05-13T17:28:09.772707,1,624.2443199998888,14.381941999999981,131.15460700009862,0.0002920000952144619,772.2024090001014
2025-05-13T17:28:10.544995,2,0.33893399995577056,3.9563689999795315,118.1893619998391,0.0002920000952144619,122.61679599987474
2025-05-13T17:28:10.667692,3,0.3459350000412087,3.9814530000512605,115.92270500000268,0.00029199986784078646,120.38426599997365
2025-05-13T17:28:10.788135,4,0.32055800011221436,4.041830999995,115.96704099997623,0.000582999973630649,120.4627290001099
2025-05-13T17:28:10.908674,5,1.969725999970251,4.001870999900348,117.2396449999269,0.0002910001057898626,123.34570699999858
2025-05-13T17:28:11.032078,6,10.539036999944074,4.172213000174452,120.8634899999197,0.000582999973630649,135.71416300010242
2025-05-13T17:28:11.167872,7,2.701262000073257,3.984078000030422,116.42351399996187,0.00029199986784078646,123.22961100016983
2025-05-13T17:28:11.291161,8,11.413205999815546,4.089958000122351,124.35454300020865,0.0002920000952144619,139.99129800004084
2025-05-13T17:28:11.431231,9,0.6764099998690654,4.505020999886256,116.7779069999142,0.000582999973630649,122.09526099991308
2025-05-13T17:28:11.553386,10,9.194092999905479,4.209838999940985,121.68223999992733,0.0002920000952144619,135.22501300008116
2025-05-13T17:28:11.688690,11,2.2500309999031742,4.6304439999858005,116.72307100002399,0.0002920000952144619,123.7225520001175
2025-05-13T17:28:11.812475,12,10.121348999973634,4.083832999867809,121.72153400001662,0.000582999973630649,136.06234799999584
2025-05-13T17:28:11.948615,13,2.3719539999547123,4.197880999981862,117.00074700002006,0.00029099987841618713,123.70563000013135
2025-05-13T17:28:12.072378,14,10.251439000057871,4.1902969999227935,122.66928200006078,0.000582999973630649,137.25131499995769
2025-05-13T17:28:12.209720,15,1.3417349998690042,3.9902030000575905,117.24779800010765,0.0002920000952144619,122.69990799995867
2025-05-13T17:28:12.332482,16,10.122223000053054,3.961618000175804,123.07363600007193,0.000582999973630649,137.29223399991497
2025-05-13T17:28:12.469849,17,1.2265200000456389,4.409640999938347,118.25176499996815,0.0002920000952144619,124.01976699993611
2025-05-13T17:28:12.593928,18,8.70610900005886,4.0532059999804915,121.722482999985,0.00029099987841618713,134.62326500007293
2025-05-13T17:28:12.728629,19,2.441956999973627,4.137793999916539,117.57156399994528,0.00029199986784078646,124.27148799997667
2025-05-13T17:28:12.852957,20,9.731370000054085,4.035704999978407,121.40950900015923,0.00029199986784078646,135.3130909999436
2025-05-13T17:28:12.988348,21,2.729263999981413,3.7201059999460995,122.61473000012302,0.5883220001123846,129.786010999851
2025-05-13T17:28:13.118256,22,4.372013999955016,4.235799000070983,121.04110699988269,0.000582999973630649,129.7839680000834
2025-05-13T17:28:13.248114,23,2.981860000090819,3.9832019999721524,116.81289200009815,0.0002920000952144619,123.8984189999428
2025-05-13T17:28:13.372070,24,10.611372000084884,4.272842000091259,123.52535800005171,0.00029099987841618713,138.5437459998684
2025-05-13T17:28:13.510694,25,0.2867230000447307,3.8735299999643757,115.23927000007461,0.0005839999630552484,119.5336960001896
2025-05-13T17:28:13.630291,26,12.409296999976505,4.348096000057922,123.67586499999561,0.000582999973630649,140.57355699992513
2025-05-13T17:28:13.770948,27,0.2922639998814702,3.983494000067367,115.73104499984765,0.000582999973630649,120.13835200014
2025-05-13T17:28:13.891147,28,11.59958900007041,4.014412000060474,127.00861599978452,0.0005839999630552484,142.76845899985346
2025-05-13T17:28:14.033999,29,0.2750549999745999,4.1401260000384354,202.65123800004403,0.0005830002010043245,207.20759400001043
2025-05-13T17:28:14.241272,30,0.9657569999035331,4.804286000080538,120.67124600002899,0.00029099987841618713,126.58071199984988
2025-05-13T17:28:14.367936,31,0.7099530000687082,4.457184000102643,189.94938500009084,0.0005839999630552484,195.24077899995973
2025-05-13T17:28:14.563236,32,0.2485119998709706,4.001285999947868,115.42827199991734,0.0002920000952144619,119.8110769998948
2025-05-13T17:28:14.683128,33,0.28643100017688994,3.7157300000671967,115.81533300000046,0.0005839999630552484,119.95137600001726
2025-05-13T17:28:14.803139,34,0.28322200000729936,4.054954999901383,116.04430300008062,0.00029099987841618713,120.52394700003788
2025-05-13T17:28:14.923742,35,0.2902229998653638,3.802358999791977,115.74211900006048,0.0002920000952144619,119.9531229999593
2025-05-13T17:28:15.043754,36,0.2800139998271334,3.998952999836547,116.05712899995524,0.0002920000952144619,120.47026899995217
2025-05-13T17:28:15.164306,37,0.2858479999758856,3.7128129999928206,115.81561599996348,0.000582999973630649,119.94699299998501
2025-05-13T17:28:15.284311,38,0.2855560001080448,4.078581999920061,116.10496399998738,0.000582999973630649,120.60735999989447
2025-05-13T17:28:15.405001,39,0.29605700001411606,3.9260319999812054,116.05946200006656,0.0002920000952144619,120.40084899990688
2025-05-13T17:28:15.525460,40,0.2978070001518063,4.073330999972313,116.15221700003531,0.0005839999630552484,120.6761959999767
2025-05-13T17:28:15.646225,41,0.26397199985694897,3.750732000071366,115.87366100002328,0.00029099987841618713,120.02574699999968
2025-05-13T17:28:15.766310,42,0.29693200008296117,4.080622999936168,116.11050600004091,0.0005839999630552484,120.63040200018804
2025-05-13T17:28:15.887025,43,0.2677640000001702,3.8306530000227212,115.77303100011704,0.0005830002010043245,119.99103599987393
2025-05-13T17:28:16.007075,44,0.25522100008856796,4.02432900000349,115.97136600016711,0.00029199986784078646,120.38450599993666
2025-05-13T17:28:16.127539,45,0.261347000105161,3.740813999911552,115.76748099992074,0.0005830002010043245,119.90410700013854
